audio_stem;sari_total;sari_add;sari_keep;sari_del;bleu;bleu_precision_1;bleu_precision_2;bleu_precision_3;bleu_precision_4;bleu_brevity_penalty;bleu_length_ratio;bleu_translation_length;bleu_reference_length;rouge_1_f1;rouge_1_precision;rouge_1_recall;rouge_2_f1;rouge_2_precision;rouge_2_recall;rouge_l_f1;rouge_l_precision;rouge_l_recall;bertscore_precision;bertscore_recall;bertscore_f1;model_size;error
T9108G0128Q0046;0,0;0,0;0,0;0,0;0,0;0,5;0,0;0,0;0,0;0,6065;0,6667;2;3;0,5;0,5;0,5;0,0;0,0;0,0;0,5;0,5;0,5;0,9399;0,8522;0,8939;base;
T9108G0171Q0002;0,0333;0,0;0,1;0,0;0,0;0,1429;0,0;0,0;0,0;1,0;1,4;7;5;0,2222;0,2;0,25;0,0;0,0;0,0;0,2222;0,2;0,25;0,8458;0,8419;0,8438;base;
T9108G0171Q0007;0,25;0,0;0,75;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;4;4;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;base;
T9108G0171Q0020;0,1222;0,0;0,3667;0,0;0,0;1,0;1,0;1,0;0,0;0,7165;0,75;3;4;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;0,912;0,8447;0,8771;base;
T9108G0171Q0023;0,0417;0,0;0,125;0,0;0,0;0,6667;0,5;0,0;0,0;0,7165;0,75;3;4;0,6667;0,6667;0,6667;0,5;0,5;0,5;0,6667;0,6667;0,6667;0,9711;0,9312;0,9507;base;
T9108G0171Q0031;0,0;0,0;0,0;0,0;0,0;0,5;0,0;0,0;0,0;0,6065;0,6667;2;3;0,5;0,5;0,5;0,0;0,0;0,0;0,5;0,5;0,5;0,9526;0,8734;0,9113;base;
T9108G0171Q0039;0,0972;0,0;0,2917;0,0;0,0;0,75;0,6667;0,5;0,0;0,7788;0,8;4;5;0,75;0,75;0,75;0,6667;0,6667;0,6667;0,75;0,75;0,75;0,9702;0,9464;0,9581;base;
T9108G0171Q0044;0,3333;0,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;5;5;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;base;
T9108G0171Q0049;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3679;0,5;1;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8577;0,9019;0,8792;base;
T9108G0171Q0050;0,0417;0,0;0,125;0,0;0,0;0,6667;0,5;0,0;0,0;0,7165;0,75;3;4;0,6667;0,6667;0,6667;0,5;0,5;0,5;0,6667;0,6667;0,6667;0,9721;0,9374;0,9544;base;
